Agency Name,Address,Type
Lotus House,217 NW 15th St. Miami FL 33136,Shelter/Non-profit
Miami Dade Community Services,1901 SW 1st St Miami FL 33135,Community Services
The Salvation Army Miami FP + SK,1907 NW 38th St Miami FL 33142,Non-profit/Shelter
Central Christian Church,222 Menores Ave Coral Gables FL 33134,Church
Sunshine Community Group,3990 West Flagler St Miami FL 33134,Community Group
Grove Outreach,3749 Grand Ave Miami FL 33133,Outreach
First Inter. Haitian Church,5832 NE 2nd Ave Miami FL 33137,Church
Curley's House,6025 NW 6th Ct Miami FL 33127,Non-profit
St. Matthews Free Will Baptist Church,6715 NW 2nd Ct Miami FL 33150,Church
Remar USA,1871 NW 62nd St Miami FL 33147,Non-profit
Rayfield Family Literacy - Miami,1263 NW 67th St Miami FL 33147,Non-profit
First Haitian COG,7140 N Miami Ave Miami FL 33150,Church
Centro Comunitario AFE,868 SE 12th St Hialeah FL 33010,Community Center
Ephphatha Baptist Church,157 NE 78th St Miami FL 33138,Church
Glory Temple Ministry FP,7950 NW 22nd Ave Miami FL 33147,Church
Pilgrim's SDA,110 Eucalyptus Dr Hialeah FL 33010,Church
Comunidad de Cristo,1490 SW 67th Ave Miami FL 33144,Church
Fountain of Life Apostolic Church,3505 NW 79th St Miami FL 33147,Church
LEADERS OF MANY,5060 ANNUNCIATION WAY IMMOKALEE FL 34142,Non-profit
NCEF-HH PATHWAYS CHILD CENTER,415 Colorado Ave IMMOKALEE FL 34142,Child Center
NCEF-HH RCMA,123 N 4th St Immokalee FL 34142,Child Center
LAKE TRAFFORD ELEMENTARY,123 N 4th St Immokalee FL 34142,School
NCF Pediatric Health Center,429 N First St. Immokalee FL 34142,Health Center
GUADALUPE SOCIAL SERVICES,211 S. 9th ST IMMOKALEE FL 34142,Social Services
IMMOKALEE HIGH SCHOOL,701 Immokalee Dr #5 IMMOKALEE FL 34142,School
IMMOKALEE MIDDLE SCHOOL,401 N. 9th St. IMMOKALEE FL 34142,School
FELLOWSHIP CHURCH,1411 Lake Trafford Rd Immokalee FL 34142,Church
Here's Help Workforce and Community Development,"4445 W 16 Ave, Suite 409 Hialeah FL 33012",Community Development
Life Care Outreach Ministry,14899 Memorial Hwy Miami FL 33168,Ministry/Outreach
Make A Wish Veterans,2198 Ali Baba Ave Opa Locka FL 33054,Non-profit
Beth-el of the Nazarene,2800 SW 102nd Ave Miami FL 33165,Church
Mt. Tabor Ministries,15050 Johnson St Opa Locka FL 33054,Church
Opa Locka Sherbondy Community Center,215 Perviz Ave Opa Locka FL 33054,Community Center
Washington Park Community Center,15290 NE 15th Ct North Miami Beach FL 33162,Community Center
Mt. Zion AME Parking Lot,15250 NW 22nd Ave Opa Locka FL 33054,Church
OL Church Garden,2261 NW 152 Terrace Opa Locka FL 33054,Garden/Resource
Health in the Hood,2261 NW 152nd Ter Opa Locka FL 33054,Non-profit
Nostrum Community Social Services Corp.,10720 W Flagler Miami FL 33174,Social Services
True Gospel,171 NE 166th St North Miami Beach FL 33162,Church/Ministry
Heart & Hand Outreach,16405 NW 25th Ave Miami Gardens FL 33054,Outreach
Iglesia Bautista Misionera,4283 NW 167th St Miami Gardens FL 33055,Church
Vida Abundante,5601 NW 159th St Hialeah FL 33014,Church
CARE Inc,631 NW 183rd St Miami Gardens FL 33169,Non-profit
Miami Gardens FP,18041 NW 22nd Ave Miami Gardens FL 33056,Food Pantry
Norland SDA Church,1175 NW 183rd St Miami Gardens FL 33169,Church
St. VDP Visitation,100 NE 191st St Miami FL 33179,Church
Gospel Tabernacle Church,3311 NW 189th St Miami Gardens FL 33056,Church
Maranatha SDA,18900 NW 32nd Ave Miami Gardens FL 33056,Church
Unify Christian Baptist,1121 NE 205th Terr Miami FL 33179,Church
Perrine - Emmanuel Apostolic Church,16809 SW 100th Ave Miami FL 33157,Church
Emmanuel Apostolic Church,16809 SW 100th Ave Miami FL 33157,Church
Helping the Elderly,10990 NW 138 St unit 19 Hialeah Gardens FL 33018,Non-profit
Emmanuel Apostolic Church,6114 SW 35th Ct Miramar FL 33023,Church
Emma Faith Global Community Outreach,6337 SW 27th St Miramar FL 33023,Outreach
True Deliverance Church,18300 SW 109th Ave Cutler Bay FL 33157,Church
Bridge to Hope,10844 SW 188th St Cutler Bay FL 33157,Non-profit
Cornerstone Church Food Pantry,20740 Old Cutler Rd Cutler Bay FL 33189,Church
Harvest Time Church of Jesus Christ Apostolic,5808 Mayo St Hollywood FL 33023,Church
Community Enhancement Collaboration,5648 Wiley St Hollywood FL 33023,Non-profit
Matthew 25 Food Pantry,14205 SW 142nd Ave Miami FL 33186,Food Pantry/Church
Faith & Life Fellowship Church,121 S 24th Ave Hollywood FL 33020,Church
Hermon Community Center,6102 Fillmore St Hollywood FL 33024,Community Center
Global Village Impact Pantry,2349 Taylor St Hollywood FL 33020,Food Pantry
Open Hearts Food Pantry,1708 North SR 7 Hollywood FL 33021,Food Pantry
River of God Int'l Ministries,7832 Davie Rd Ext Hollywood FL 33024,Ministry
L.E.S,3220 N 24th Ave Hollywood FL 33020,Outreach
Metropolitan Baptist Church,7200 Davie Rd Ext Hollywood FL 33024,Church
Ebenezer SDA Church,134 NW 12th Ave Dania Beach FL 33004,Church
The Temple of St. Germaine,5031 SW 100th Ave Cooper City FL 33328,Church/Temple
Davie Community Worship Center,4140 SW 54th Ave Davie FL 33314,Church/Worship Center
Tabernacle Christian Center Ministries,4101 SW 61st Ave Davie FL 33314,Ministry
Neighborhood Alliance Foundation,15260 SW 280 St Homestead FL 33032,Foundation
Sunset Presbyterian,3550 Davie Blvd Ft. Lauderdale FL 33312,Church
Sunshine Cathedral,1480 SW 9th Ave Ft. Lauderdale FL 33315,Church
Homestead Housing Authority South Dade,31220 SW 134th Ave Homestead FL 33033,Housing Authority
Ft. Lauderdale SDA Church,850 SW 12th St Ft. Lauderdale FL 33311,Church
Homestead Housing Authority Redlands,29355 S Dixie Hwy Homestead FL 33033,Housing Authority
Lighthouse SDA Church,441 SW 27th Ave Ft. Lauderdale FL 33312,Church
Seed Sowers Of Faith,205 SW 27th Ave Ft. Lauderdale FL 33313,Ministry
Life Net 4 Families,1 NW 33rd Terrace Ft Lauderdale FL 33311,Non-profit
Sinai SDA Church,201 NW 46th Ave Plantation FL 33317,Church
Bridge to Hope - Homestead,17700 SW 280 St Homestead FL 33031,Non-profit
Iglesia Cristiana Senales de Vida,20850 Griffin Rd Southwest Ranches FL 33332,Church
Mt. Olivet SDA Church,649 NW 15th Way Ft. Lauderdale FL 33311,Church
Arthur Hall Memorial,744 NW 12th Ave Ft. Lauderdale FL 33311,Memorial/Center
Prevention Central,1100 W Sunrise Blvd Ft. Lauderdale FL 33311,Non-profit
Corazones en la Communidad,1851 N Krome Ave Homestead FL 33030,Non-profit
"A. J. WELLS MINISTRIES, INC.",2920 NW 12TH STREET FORT LAUDERDALE FL 33311,Ministry
Faith Church of the Redlands,28945 SW 187th Ave Homestead FL 33030,Church
Lauderhill SDA Church,4100 NW 11th Ct Lauderhill FL 33313,Church
Shekina French SDA Church,2851 NW 13th St Ft. Lauderdale FL 33311,Church
National Aid Foundation,2821 NW 15th St Ft. Lauderdale FL 33311,Foundation
Full Gospel Church,481 sawgrass Corporate park Sunrise FL 33325,Church
Dare to Care dba The Faith Center,4085 NW 16th St Lauderhill FL 33313,Church
International Street Outreach,5940 NW 16th Pl Sunrise FL 33313,Outreach
Haitian Evangelical Baptist Church,344 W Mowry Dr Homestead FL 33030,Church
Harris Chapel Inc.,2351 NW 26th St Oakland Park FL 33311,Church
Touching Miami with Love: West Homestead,1350 SW 4th St Homestead FL 33030,Non-profit
Deliverance Reunited,2800 Oakland Park Blvd Oakland Park FL 33311,Outreach
All Nations New Testament Food Pantry,4351 W Oakland Park Blvd Lauderdale Lakes FL 33313,Food Pantry/Church
Church of God of Prophecy - Sunrise,7730 W Oakland Park Blvd Sunrise FL 33351,Church
Blessed Sacrament,1701 E Oakland Park Blvd Oakland Park FL 33334,Church
Merrell UMC,3900 N SR 7 Lauderdale Lakes FL 33319,Church
Jubilee of Praise,4505 NW 103rd Ave Sunrise FL 33351,Church/Ministry
Expecting Relief - Ft. Lauderdale,3000 W Prospect Rd Ft. Lauderdale FL 33309,Non-profit
Kingdom Concept Ministries,100094 W McNab Rd Tamarac FL 33321,Ministry
Eglise de Dieu de Deliverance,6901 NW 70th Ave Tamarac FL 33321,Church
Pent Gospel Temple,441 South State Road 7 Margate FL 33319,Church/Temple
ICNA Relief Food Pantry,1450 SW 3rd St Unit A-11 Pompano Beach FL 33069,Food Pantry
Thomas Temple COGIC,516 NW 16th Ave Pompano Beach FL 33069,Church
Mount Calvary Baptist Church,800 NW 8th Ave Pompano Beach FL 33060,Church
Cokesbury UMC,1801 NW 65th Ave Margate FL 33063,Church
Living Word Christian Center,3301 Riverside drive Coral springs FL 33065,Church
First Brazilian Baptist,1103 NE 33rd St Pompano Beach FL 33064,Church
Blessing Food Pantry and Soup Kitchen,100 NE 44th St Pompano Beach FL 33064,Food Pantry/Soup Kitchen
Homeless Hearts,310 NE 6Ave Pompano Beach FL 33060,Non-profit
Deerfield Beach Community Cares/Nina's Place,959 SE 6th Ave Deerfield Beach FL 33441,Community/Food Pantry
Christmas of Hope,161 W Hillsboro Blvd Deerfield Beach FL 33441,Outreach
Deerfield Beach SDA Church,350 NW 1st Ter Deerfield Beach FL 33441,Church
Boca Helping Hands - Boca Raton,10101 Judge Winikoff Rd Boca Raton FL 33428,Non-profit
Church of All Nations,1300 NW 4th Ave Boca Raton FL 33432,Church
Boca Helpings Hands - SK & FP,1500 NW 1st Ct Boca Raton FL 33432,Non-profit
SOS at St Justin's FP,105500 Overseas Hwy Key Largo FL 33037,Food Pantry
Boca Helping Hands - Boynton Beach,301 N Seacrest Blvd Boynton Beach FL 33435,Non-profit
St. John Communty Promise,900 N Seacrest Blvd Boynton Beach FL 33435,Community/Church
Burton Memorial UMC,93001 Overseas Hwy Tavernier FL 33070,Church
Keyi Nanm Inc,7145 Lantana Road Lake Worth FL 33467,Non-profit
Boca Helping Hands - Lake Worth,2116 Lantana Rd Lake Worth FL 33462,Non-profit
Ministerio Cristiano La Gloria Postrera,6426 Melaleuca Ln Greenacres FL 33463,Ministry/Church
New Apostolic Church,1132 S B St Lake Worth FL 33460,Church
Pentecostal Tabernacle of WPB,6024 Lake Worth Rd Greenacres FL 33463,Church
Church of God Prophecy - Greenacres,116 Broward Ave Greenacres FL 33463,Church
Holy Redeemer Episcopal Church,3730 Kirk Rd Lake Worth FL 33461,Church
Feeding The Hungry - Cypress Drive,300 Cypress Dr Lake Worth FL 33461,Non-profit
Iglesia De Dios Puerta Del Cielo,713 N F St Lake Worth FL 33460,Church
Temple de la Restoration LW,2417 10th Ave N Lake Worth FL 33461,Church/Temple
Farmworker Coordinating Council - Lake Worth,1123 Crestwood Blvd Lake Worth FL 33460,Social Services
Peniel Neighborhood Pantry,2000 N D St Lake Worth FL 33460,Food Pantry
ICA Gracia & Restauracion,1900 S Congress Ave Palm Springs FL 33406,Church/Ministry
Victory Feeding the Hungry,4601 Forest Hill Blvd West Palm Beach FL 33415,Non-profit
Feeding The Hungry - WPB,1651 62nd Ave S West Palm Beach FL 33415,Non-profit
First SDA Church,6300 Summit Blvd West Palm Beach FL 33415,Church
Cidra Church Ministry Barak Rabah,865 S Congress Ave Palm Springs FL 33406,Church/Ministry
Bethany Baptist,6353 Wallis Rd West Palm Beach FL 33411,Church
HACER,2727 Georgia Ave West Palm Beach FL 33405,Non-profit
